"k","frac_covered","gene","superpop"
9,0.888888888888889,"KCNQ2","EAS"
10,0.892857142857143,"KCNQ2","EAS"
11,0.896825396825397,"KCNQ2","EAS"
12,0.898809523809524,"KCNQ2","EAS"
13,0.900793650793651,"KCNQ2","EAS"
14,0.902777777777778,"KCNQ2","EAS"
15,0.904761904761905,"KCNQ2","EAS"
16,0.904761904761905,"KCNQ2","EAS"
1,0.481113320079523,"KCNQ2","EUR"
2,0.717693836978131,"KCNQ2","EUR"
3,0.846918489065606,"KCNQ2","EUR"
4,0.898608349900596,"KCNQ2","EUR"
5,0.922465208747515,"KCNQ2","EUR"
6,0.934393638170974,"KCNQ2","EUR"
7,0.940357852882704,"KCNQ2","EUR"
8,0.944333996023857,"KCNQ2","EUR"
9,0.94831013916501,"KCNQ2","EUR"
10,0.950298210735587,"KCNQ2","EUR"
11,0.952286282306163,"KCNQ2","EUR"
12,0.95427435387674,"KCNQ2","EUR"
13,0.95427435387674,"KCNQ2","EUR"
1,0.507157464212679,"KCNQ2","SAS"
2,0.7280163599182,"KCNQ2","SAS"
3,0.828220858895706,"KCNQ2","SAS"
4,0.867075664621677,"KCNQ2","SAS"
5,0.887525562372188,"KCNQ2","SAS"
6,0.899795501022495,"KCNQ2","SAS"
7,0.912065439672802,"KCNQ2","SAS"
8,0.918200408997955,"KCNQ2","SAS"
9,0.922290388548057,"KCNQ2","SAS"
10,0.92638036809816,"KCNQ2","SAS"
11,0.930470347648262,"KCNQ2","SAS"
12,0.932515337423313,"KCNQ2","SAS"
13,0.932515337423313,"KCNQ2","SAS"
1,0.521936459909228,"KIF1A","AFR"
2,0.760968229954614,"KIF1A","AFR"
3,0.878971255673222,"KIF1A","AFR"
4,0.939485627836611,"KIF1A","AFR"
5,0.965204236006051,"KIF1A","AFR"
6,0.977307110438729,"KIF1A","AFR"
7,0.981845688350983,"KIF1A","AFR"
8,0.986384266263237,"KIF1A","AFR"
9,0.989409984871407,"KIF1A","AFR"
10,0.990922844175492,"KIF1A","AFR"
11,0.992435703479576,"KIF1A","AFR"
12,0.993948562783661,"KIF1A","AFR"
13,0.995461422087746,"KIF1A","AFR"
14,0.995461422087746,"KIF1A","AFR"
1,0.510086455331412,"KIF1A","AMR"
2,0.723342939481268,"KIF1A","AMR"
3,0.832853025936599,"KIF1A","AMR"
4,0.881844380403458,"KIF1A","AMR"
5,0.910662824207493,"KIF1A","AMR"
6,0.930835734870317,"KIF1A","AMR"
7,0.945244956772334,"KIF1A","AMR"
8,0.951008645533141,"KIF1A","AMR"
9,0.956772334293948,"KIF1A","AMR"
10,0.959654178674352,"KIF1A","AMR"
11,0.962536023054755,"KIF1A","AMR"
12,0.962536023054755,"KIF1A","AMR"
1,0.531746031746032,"KIF1A","EAS"
2,0.759920634920635,"KIF1A","EAS"
3,0.859126984126984,"KIF1A","EAS"
4,0.912698412698413,"KIF1A","EAS"
5,0.942460317460317,"KIF1A","EAS"
6,0.962301587301587,"KIF1A","EAS"
7,0.968253968253968,"KIF1A","EAS"
8,0.974206349206349,"KIF1A","EAS"
9,0.976190476190476,"KIF1A","EAS"
10,0.978174603174603,"KIF1A","EAS"
11,0.98015873015873,"KIF1A","EAS"
12,0.982142857142857,"KIF1A","EAS"
13,0.982142857142857,"KIF1A","EAS"
1,0.52286282306163,"KIF1A","EUR"
2,0.755467196819085,"KIF1A","EUR"
3,0.856858846918489,"KIF1A","EUR"
4,0.918489065606362,"KIF1A","EUR"
5,0.960238568588469,"KIF1A","EUR"
6,0.976143141153082,"KIF1A","EUR"
7,0.982107355864811,"KIF1A","EUR"
8,0.984095427435388,"KIF1A","EUR"
9,0.986083499005964,"KIF1A","EUR"
10,0.988071570576541,"KIF1A","EUR"
11,0.990059642147117,"KIF1A","EUR"
12,0.992047713717694,"KIF1A","EUR"
13,0.992047713717694,"KIF1A","EUR"
1,0.531697341513292,"KIF1A","SAS"
2,0.738241308793456,"KIF1A","SAS"
3,0.85480572597137,"KIF1A","SAS"
4,0.912065439672802,"KIF1A","SAS"
5,0.946830265848671,"KIF1A","SAS"
6,0.967280163599182,"KIF1A","SAS"
7,0.973415132924335,"KIF1A","SAS"
8,0.977505112474438,"KIF1A","SAS"
9,0.979550102249489,"KIF1A","SAS"
10,0.98159509202454,"KIF1A","SAS"
11,0.983640081799591,"KIF1A","SAS"
12,0.985685071574642,"KIF1A","SAS"
13,0.985685071574642,"KIF1A","SAS"
1,0.43267776096823,"KIF5B","AFR"
2,0.65052950075643,"KIF5B","AFR"
3,0.668683812405446,"KIF5B","AFR"
4,0.674735249621785,"KIF5B","AFR"
5,0.674735249621785,"KIF5B","AFR"
1,0.510086455331412,"KIF5B","AMR"
2,0.622478386167147,"KIF5B","AMR"
3,0.636887608069164,"KIF5B","AMR"
4,0.636887608069164,"KIF5B","AMR"
1,0.501984126984127,"KIF5B","EAS"
2,0.511904761904762,"KIF5B","EAS"
3,0.511904761904762,"KIF5B","EAS"
