"k","mean","lo","hi","gene"
7,0.81610303514377,0.80591054313099,0.831070287539936,"COL2A1"
8,0.827070287539936,0.817392172523962,0.839856230031949,"COL2A1"
9,0.834996805111821,0.826277955271565,0.846645367412141,"COL2A1"
10,0.841390575079872,0.832667731629393,0.852635782747604,"COL2A1"
1,0.352642172523962,0.321485623003195,0.449680511182109,"KCNJ11"
2,0.512226837060703,0.478334664536741,0.575079872204473,"KCNJ11"
3,0.592842651757189,0.553214856230032,0.641373801916933,"KCNJ11"
4,0.64030750798722,0.629193290734824,0.670227635782748,"KCNJ11"
5,0.665385782747604,0.654452875399361,0.690095846645367,"KCNJ11"
6,0.681705271565495,0.671126198083067,0.699380990415336,"KCNJ11"
7,0.692255591054313,0.687300319488818,0.70457268370607,"KCNJ11"
8,0.699373801916933,0.695287539936102,0.70926517571885,"KCNJ11"
9,0.705564696485623,0.699281150159744,0.713658146964856,"KCNJ11"
10,0.709061501597444,0.702076677316294,0.716553514376997,"KCNJ11"
1,0.281729233226837,0.206369808306709,0.344049520766773,"KCNQ2"
2,0.459407348242811,0.384384984025559,0.541234025559105,"KCNQ2"
3,0.578609424920128,0.518170926517572,0.651857028753994,"KCNQ2"
4,0.655357028753994,0.609025559105431,0.719249201277955,"KCNQ2"
5,0.710519968051118,0.662040734824281,0.768570287539936,"KCNQ2"
6,0.750242811501597,0.714456869009585,0.797523961661342,"KCNQ2"
7,0.779777156549521,0.747803514376997,0.823083067092652,"KCNQ2"
8,0.804488817891374,0.775858626198083,0.842751597444089,"KCNQ2"
9,0.822599840255591,0.800619009584664,0.858726038338658,"KCNQ2"
10,0.837506389776358,0.81629392971246,0.868710063897764,"KCNQ2"
1,0.354140575079872,0.274860223642173,0.428913738019169,"KIF1A"
2,0.550992811501597,0.513977635782748,0.607627795527157,"KIF1A"
3,0.670758785942492,0.634984025559105,0.718051118210863,"KIF1A"
4,0.744815495207668,0.716253993610224,0.779253194888179,"KIF1A"
