"k","frac_covered","gene","superpop"
3,0.761431411530815,"MTOR","EUR"
4,0.78727634194831,"MTOR","EUR"
5,0.813121272365805,"MTOR","EUR"
6,0.829025844930418,"MTOR","EUR"
7,0.836978131212724,"MTOR","EUR"
8,0.842942345924453,"MTOR","EUR"
9,0.84493041749503,"MTOR","EUR"
10,0.846918489065606,"MTOR","EUR"
1,0.466257668711656,"MTOR","SAS"
2,0.627811860940695,"MTOR","SAS"
3,0.723926380368098,"MTOR","SAS"
4,0.760736196319018,"MTOR","SAS"
5,0.775051124744376,"MTOR","SAS"
6,0.785276073619632,"MTOR","SAS"
7,0.791411042944785,"MTOR","SAS"
8,0.797546012269939,"MTOR","SAS"
9,0.79959100204499,"MTOR","SAS"
10,0.801635991820041,"MTOR","SAS"
1,0.599092284417549,"NLRP3","AFR"
2,0.812405446293495,"NLRP3","AFR"
3,0.91981845688351,"NLRP3","AFR"
4,0.963691376701967,"NLRP3","AFR"
5,0.986384266263237,"NLRP3","AFR"
6,0.993948562783661,"NLRP3","AFR"
7,0.996974281391831,"NLRP3","AFR"
8,0.996974281391831,"NLRP3","AFR"
9,0.996974281391831,"NLRP3","AFR"
10,0.996974281391831,"NLRP3","AFR"
1,0.527377521613833,"NLRP3","AMR"
2,0.76657060518732,"NLRP3","AMR"
3,0.890489913544669,"NLRP3","AMR"
4,0.948126801152738,"NLRP3","AMR"
5,0.971181556195965,"NLRP3","AMR"
6,0.982708933717579,"NLRP3","AMR"
7,0.988472622478386,"NLRP3","AMR"
8,0.99135446685879,"NLRP3","AMR"
9,0.99135446685879,"NLRP3","AMR"
10,0.99135446685879,"NLRP3","AMR"
1,0.511904761904762,"NLRP3","EAS"
2,0.755952380952381,"NLRP3","EAS"
3,0.882936507936508,"NLRP3","EAS"
4,0.948412698412698,"NLRP3","EAS"
5,0.974206349206349,"NLRP3","EAS"
6,0.984126984126984,"NLRP3","EAS"
7,0.992063492063492,"NLRP3","EAS"
8,0.996031746031746,"NLRP3","EAS"
9,0.998015873015873,"NLRP3","EAS"
10,0.998015873015873,"NLRP3","EAS"
1,0.520874751491054,"NLRP3","EUR"
2,0.769383697813121,"NLRP3","EUR"
3,0.902584493041749,"NLRP3","EUR"
4,0.958250497017893,"NLRP3","EUR"
5,0.984095427435388,"NLRP3","EUR"
6,0.992047713717694,"NLRP3","EUR"
7,0.99403578528827,"NLRP3","EUR"
8,0.99403578528827,"NLRP3","EUR"
9,0.99403578528827,"NLRP3","EUR"
10,0.99403578528827,"NLRP3","EUR"
1,0.539877300613497,"NLRP3","SAS"
2,0.809815950920245,"NLRP3","SAS"
3,0.916155419222904,"NLRP3","SAS"
4,0.961145194274029,"NLRP3","SAS"
5,0.977505112474438,"NLRP3","SAS"
6,0.983640081799591,"NLRP3","SAS"
7,0.987730061349693,"NLRP3","SAS"
8,0.989775051124744,"NLRP3","SAS"
9,0.991820040899795,"NLRP3","SAS"
10,0.991820040899795,"NLRP3","SAS"
1,0.502269288956127,"PIK3CA","AFR"
2,0.659606656580938,"PIK3CA","AFR"
3,0.774583963691377,"PIK3CA","AFR"
4,0.809379727685325,"PIK3CA","AFR"
5,0.83661119515885,"PIK3CA","AFR"
6,0.857791225416036,"PIK3CA","AFR"
7,0.874432677760968,"PIK3CA","AFR"
8,0.883509833585477,"PIK3CA","AFR"
9,0.886535552193646,"PIK3CA","AFR"
10,0.888048411497731,"PIK3CA","AFR"
1,0.507204610951009,"PIK3CA","AMR"
2,0.648414985590778,"PIK3CA","AMR"
3,0.697406340057637,"PIK3CA","AMR"
4,0.720461095100865,"PIK3CA","AMR"
5,0.737752161383285,"PIK3CA","AMR"
6,0.752161383285303,"PIK3CA","AMR"
7,0.760806916426513,"PIK3CA","AMR"
8,0.769452449567723,"PIK3CA","AMR"
9,0.772334293948127,"PIK3CA","AMR"
10,0.772334293948127,"PIK3CA","AMR"
1,0.384920634920635,"PIK3CA","EAS"
2,0.422619047619048,"PIK3CA","EAS"
3,0.444444444444444,"PIK3CA","EAS"
4,0.452380952380952,"PIK3CA","EAS"
5,0.456349206349206,"PIK3CA","EAS"
6,0.458333333333333,"PIK3CA","EAS"
7,0.458333333333333,"PIK3CA","EAS"
8,0.458333333333333,"PIK3CA","EAS"
9,0.458333333333333,"PIK3CA","EAS"
10,0.458333333333333,"PIK3CA","EAS"
1,0.508946322067594,"PIK3CA","EUR"
2,0.644135188866799,"PIK3CA","EUR"
3,0.687872763419483,"PIK3CA","EUR"
